schedule_source,schedule_realism,payload_source,payload_realism,evidence_level,claim_scope,source_pair,codec_family,offered_load_mode,link_gbps,output_path,output_bw_gbps,decompressor_input_gbps,decompressor_output_gbps,ratio,ratio_threshold,compressed_ingress_gbps,decompressed_output_gbps,effective_output_budget_gbps,input_utilization,output_utilization,decompressor_output_utilization,max_expansion_debt_bytes,pressure_interpretation,is_input_safe,is_output_safe,is_safe,provenance
m1_schedule_only_smoke,schedule_only,ebpc_alexnet_literature,literature_ratio,P0_literature_ratio,analytical_sensitivity_only,m1_schedule_only_smoke + P0_literature_ratio:ebpc_alexnet_literature,ebpc,same_original_bytes,400.0,gpu_direct_pcie5_x16_like,512.0,800.0,1024.0,5.0945273631840795,6.520995024875622,78.515625,400.0,512.0,0.09814453125,0.78125,0.390625,0.0,safe,True,True,True,Cavigelli et al. 2019 EBPC reports AlexNet average compression ratio of 5.1x in the local text extraction at review-stage/ebpc_2019.txt.
m1_schedule_only_smoke,schedule_only,ebpc_alexnet_literature,literature_ratio,P0_literature_ratio,analytical_sensitivity_only,m1_schedule_only_smoke + P0_literature_ratio:ebpc_alexnet_literature,ebpc,same_original_bytes,400.0,cxl_or_pcie6_staging_like,1024.0,800.0,1024.0,5.0945273631840795,13.041990049751243,78.515625,400.0,1024.0,0.09814453125,0.390625,0.390625,0.0,safe,True,True,True,Cavigelli et al. 2019 EBPC reports AlexNet average compression ratio of 5.1x in the local text extraction at review-stage/ebpc_2019.txt.
m1_schedule_only_smoke,schedule_only,ebpc_alexnet_literature,literature_ratio,P0_literature_ratio,analytical_sensitivity_only,m1_schedule_only_smoke + P0_literature_ratio:ebpc_alexnet_literature,ebpc,same_original_bytes,800.0,host_dram_pcie4_x16_like,256.0,800.0,1024.0,5.0945273631840795,1.6302487562189054,157.03125,800.0,256.0,0.1962890625,3.125,0.78125,6800000.0,fixed_original_output_path_bottleneck,True,False,False,Cavigelli et al. 2019 EBPC reports AlexNet average compression ratio of 5.1x in the local text extraction at review-stage/ebpc_2019.txt.
m1_schedule_only_smoke,schedule_only,ebpc_alexnet_literature,literature_ratio,P0_literature_ratio,analytical_sensitivity_only,m1_schedule_only_smoke + P0_literature_ratio:ebpc_alexnet_literature,ebpc,same_original_bytes,800.0,host_dram_pcie5_x16_like,512.0,800.0,1024.0,5.0945273631840795,3.260497512437811,157.03125,800.0,512.0,0.1962890625,1.5625,0.78125,3600000.0,fixed_original_output_path_bottleneck,True,False,False,Cavigelli et al. 2019 EBPC reports AlexNet average compression ratio of 5.1x in the local text extraction at review-stage/ebpc_2019.txt.
m1_schedule_only_smoke,schedule_only,ebpc_alexnet_literature,literature_ratio,P0_literature_ratio,analytical_sensitivity_only,m1_schedule_only_smoke + P0_literature_ratio:ebpc_alexnet_literature,ebpc,same_original_bytes,800.0,gpu_direct_pcie5_x16_like,512.0,800.0,1024.0,5.0945273631840795,3.260497512437811,157.03125,800.0,512.0,0.1962890625,1.5625,0.78125,3600000.0,fixed_original_output_path_bottleneck,True,False,False,Cavigelli et al. 2019 EBPC reports AlexNet average compression ratio of 5.1x in the local text extraction at review-stage/ebpc_2019.txt.
m1_schedule_only_smoke,schedule_only,ebpc_alexnet_literature,literature_ratio,P0_literature_ratio,analytical_sensitivity_only,m1_schedule_only_smoke + P0_literature_ratio:ebpc_alexnet_literature,ebpc,same_original_bytes,800.0,cxl_or_pcie6_staging_like,1024.0,800.0,1024.0,5.0945273631840795,6.520995024875622,157.03125,800.0,1024.0,0.1962890625,0.78125,0.78125,0.0,safe,True,True,True,Cavigelli et al. 2019 EBPC reports AlexNet average compression ratio of 5.1x in the local text extraction at review-stage/ebpc_2019.txt.
m1_schedule_only_smoke,schedule_only,ebpc_alexnet_literature,literature_ratio,P0_literature_ratio,analytical_sensitivity_only,m1_schedule_only_smoke + P0_literature_ratio:ebpc_alexnet_literature,ebpc,compressed_line_rate_saturated,100.0,host_dram_pcie4_x16_like,256.0,800.0,1024.0,5.0945273631840795,2.56,100.0,509.452736318408,256.0,0.125,1.9900497512437811,0.4975124378109453,3168159.2039800994,ratio_driven_output_pressure,True,False,False,Cavigelli et al. 2019 EBPC reports AlexNet average compression ratio of 5.1x in the local text extraction at review-stage/ebpc_2019.txt.
m1_schedule_only_smoke,schedule_only,ebpc_alexnet_literature,literature_ratio,P0_literature_ratio,analytical_sensitivity_only,m1_schedule_only_smoke + P0_literature_ratio:ebpc_alexnet_literature,ebpc,compressed_line_rate_saturated,100.0,host_dram_pcie5_x16_like,512.0,800.0,1024.0,5.0945273631840795,5.12,100.0,509.452736318408,512.0,0.125,0.9950248756218906,0.4975124378109453,0.0,safe,True,True,True,Cavigelli et al. 2019 EBPC reports AlexNet average compression ratio of 5.1x in the local text extraction at review-stage/ebpc_2019.txt.
m1_schedule_only_smoke,schedule_only,ebpc_alexnet_literature,literature_ratio,P0_literature_ratio,analytical_sensitivity_only,m1_schedule_only_smoke + P0_literature_ratio:ebpc_alexnet_literature,ebpc,compressed_line_rate_saturated,100.0,gpu_direct_pcie5_x16_like,512.0,800.0,1024.0,5.0945273631840795,5.12,100.0,509.452736318408,512.0,0.125,0.9950248756218906,0.4975124378109453,0.0,safe,True,True,True,Cavigelli et al. 2019 EBPC reports AlexNet average compression ratio of 5.1x in the local text extraction at review-stage/ebpc_2019.txt.
m1_schedule_only_smoke,schedule_only,ebpc_alexnet_literature,literature_ratio,P0_literature_ratio,analytical_sensitivity_only,m1_schedule_only_smoke + P0_literature_ratio:ebpc_alexnet_literature,ebpc,compressed_line_rate_saturated,100.0,cxl_or_pcie6_staging_like,1024.0,800.0,1024.0,5.0945273631840795,10.24,100.0,509.452736318408,1024.0,0.125,0.4975124378109453,0.4975124378109453,0.0,safe,True,True,True,Cavigelli et al. 2019 EBPC reports AlexNet average compression ratio of 5.1x in the local text extraction at review-stage/ebpc_2019.txt.
m1_schedule_only_smoke,schedule_only,ebpc_alexnet_literature,literature_ratio,P0_literature_ratio,analytical_sensitivity_only,m1_schedule_only_smoke + P0_literature_ratio:ebpc_alexnet_literature,ebpc,compressed_line_rate_saturated,200.0,host_dram_pcie4_x16_like,256.0,800.0,1024.0,5.0945273631840795,1.28,200.0,1018.905472636816,256.0,0.25,3.9800995024875623,0.9950248756218906,9536318.407960199,ratio_driven_output_pressure,True,False,False,Cavigelli et al. 2019 EBPC reports AlexNet average compression ratio of 5.1x in the local text extraction at review-stage/ebpc_2019.txt.
m1_schedule_only_smoke,schedule_only,ebpc_alexnet_literature,literature_ratio,P0_literature_ratio,analytical_sensitivity_only,m1_schedule_only_smoke + P0_literature_ratio:ebpc_alexnet_literature,ebpc,compressed_line_rate_saturated,200.0,host_dram_pcie5_x16_like,512.0,800.0,1024.0,5.0945273631840795,2.56,200.0,1018.905472636816,512.0,0.25,1.9900497512437811,0.9950248756218906,6336318.407960199,ratio_driven_output_pressure,True,False,False,Cavigelli et al. 2019 EBPC reports AlexNet average compression ratio of 5.1x in the local text extraction at review-stage/ebpc_2019.txt.
m1_schedule_only_smoke,schedule_only,ebpc_alexnet_literature,literature_ratio,P0_literature_ratio,analytical_sensitivity_only,m1_schedule_only_smoke + P0_literature_ratio:ebpc_alexnet_literature,ebpc,compressed_line_rate_saturated,200.0,gpu_direct_pcie5_x16_like,512.0,800.0,1024.0,5.0945273631840795,2.56,200.0,1018.905472636816,512.0,0.25,1.9900497512437811,0.9950248756218906,6336318.407960199,ratio_driven_output_pressure,True,False,False,Cavigelli et al. 2019 EBPC reports AlexNet average compression ratio of 5.1x in the local text extraction at review-stage/ebpc_2019.txt.
m1_schedule_only_smoke,schedule_only,ebpc_alexnet_literature,literature_ratio,P0_literature_ratio,analytical_sensitivity_only,m1_schedule_only_smoke + P0_literature_ratio:ebpc_alexnet_literature,ebpc,compressed_line_rate_saturated,200.0,cxl_or_pcie6_staging_like,1024.0,800.0,1024.0,5.0945273631840795,5.12,200.0,1018.905472636816,1024.0,0.25,0.9950248756218906,0.9950248756218906,0.0,safe,True,True,True,Cavigelli et al. 2019 EBPC reports AlexNet average compression ratio of 5.1x in the local text extraction at review-stage/ebpc_2019.txt.
m1_schedule_only_smoke,schedule_only,ebpc_alexnet_literature,literature_ratio,P0_literature_ratio,analytical_sensitivity_only,m1_schedule_only_smoke + P0_literature_ratio:ebpc_alexnet_literature,ebpc,compressed_line_rate_saturated,400.0,host_dram_pcie4_x16_like,256.0,800.0,1024.0,5.0945273631840795,0.64,400.0,2037.810945273632,256.0,0.5,7.960199004975125,1.9900497512437811,22272636.815920398,ratio_driven_output_pressure,True,False,False,Cavigelli et al. 2019 EBPC reports AlexNet average compression ratio of 5.1x in the local text extraction at review-stage/ebpc_2019.txt.
m1_schedule_only_smoke,schedule_only,ebpc_alexnet_literature,literature_ratio,P0_literature_ratio,analytical_sensitivity_only,m1_schedule_only_smoke + P0_literature_ratio:ebpc_alexnet_literature,ebpc,compressed_line_rate_saturated,400.0,host_dram_pcie5_x16_like,512.0,800.0,1024.0,5.0945273631840795,1.28,400.0,2037.810945273632,512.0,0.5,3.9800995024875623,1.9900497512437811,19072636.815920398,ratio_driven_output_pressure,True,False,False,Cavigelli et al. 2019 EBPC reports AlexNet average compression ratio of 5.1x in the local text extraction at review-stage/ebpc_2019.txt.
m1_schedule_only_smoke,schedule_only,ebpc_alexnet_literature,literature_ratio,P0_literature_ratio,analytical_sensitivity_only,m1_schedule_only_smoke + P0_literature_ratio:ebpc_alexnet_literature,ebpc,compressed_line_rate_saturated,400.0,gpu_direct_pcie5_x16_like,512.0,800.0,1024.0,5.0945273631840795,1.28,400.0,2037.810945273632,512.0,0.5,3.9800995024875623,1.9900497512437811,19072636.815920398,ratio_driven_output_pressure,True,False,False,Cavigelli et al. 2019 EBPC reports AlexNet average compression ratio of 5.1x in the local text extraction at review-stage/ebpc_2019.txt.
m1_schedule_only_smoke,schedule_only,ebpc_alexnet_literature,literature_ratio,P0_literature_ratio,analytical_sensitivity_only,m1_schedule_only_smoke + P0_literature_ratio:ebpc_alexnet_literature,ebpc,compressed_line_rate_saturated,400.0,cxl_or_pcie6_staging_like,1024.0,800.0,1024.0,5.0945273631840795,2.56,400.0,2037.810945273632,1024.0,0.5,1.9900497512437811,1.9900497512437811,12672636.815920398,ratio_driven_output_pressure,True,False,False,Cavigelli et al. 2019 EBPC reports AlexNet average compression ratio of 5.1x in the local text extraction at review-stage/ebpc_2019.txt.
m1_schedule_only_smoke,schedule_only,ebpc_alexnet_literature,literature_ratio,P0_literature_ratio,analytical_sensitivity_only,m1_schedule_only_smoke + P0_literature_ratio:ebpc_alexnet_literature,ebpc,compressed_line_rate_saturated,800.0,host_dram_pcie4_x16_like,256.0,800.0,1024.0,5.0945273631840795,0.32,800.0,4075.621890547264,256.0,1.0,15.92039800995025,3.9800995024875623,47745273.631840795,ratio_driven_output_pressure,True,False,False,Cavigelli et al. 2019 EBPC reports AlexNet average compression ratio of 5.1x in the local text extraction at review-stage/ebpc_2019.txt.
m1_schedule_only_smoke,schedule_only,ebpc_alexnet_literature,literature_ratio,P0_literature_ratio,analytical_sensitivity_only,m1_schedule_only_smoke + P0_literature_ratio:ebpc_alexnet_literature,ebpc,compressed_line_rate_saturated,800.0,host_dram_pcie5_x16_like,512.0,800.0,1024.0,5.0945273631840795,0.64,800.0,4075.621890547264,512.0,1.0,7.960199004975125,3.9800995024875623,44545273.631840795,ratio_driven_output_pressure,True,False,False,Cavigelli et al. 2019 EBPC reports AlexNet average compression ratio of 5.1x in the local text extraction at review-stage/ebpc_2019.txt.
m1_schedule_only_smoke,schedule_only,ebpc_alexnet_literature,literature_ratio,P0_literature_ratio,analytical_sensitivity_only,m1_schedule_only_smoke + P0_literature_ratio:ebpc_alexnet_literature,ebpc,compressed_line_rate_saturated,800.0,gpu_direct_pcie5_x16_like,512.0,800.0,1024.0,5.0945273631840795,0.64,800.0,4075.621890547264,512.0,1.0,7.960199004975125,3.9800995024875623,44545273.631840795,ratio_driven_output_pressure,True,False,False,Cavigelli et al. 2019 EBPC reports AlexNet average compression ratio of 5.1x in the local text extraction at review-stage/ebpc_2019.txt.
m1_schedule_only_smoke,schedule_only,ebpc_alexnet_literature,literature_ratio,P0_literature_ratio,analytical_sensitivity_only,m1_schedule_only_smoke + P0_literature_ratio:ebpc_alexnet_literature,ebpc,compressed_line_rate_saturated,800.0,cxl_or_pcie6_staging_like,1024.0,800.0,1024.0,5.0945273631840795,1.28,800.0,4075.621890547264,1024.0,1.0,3.9800995024875623,3.9800995024875623,38145273.631840795,ratio_driven_output_pressure,True,False,False,Cavigelli et al. 2019 EBPC reports AlexNet average compression ratio of 5.1x in the local text extraction at review-stage/ebpc_2019.txt.
m1_schedule_only_smoke,schedule_only,ebpc_alexnet_literature,literature_ratio,P0_literature_ratio,analytical_sensitivity_only,m1_schedule_only_smoke + P0_literature_ratio:ebpc_alexnet_literature,ebpc,same_original_bytes,100.0,host_dram_pcie4_x16_like,256.0,800.0,1024.0,5.0945273631840795,13.041990049751243,19.62890625,100.0,256.0,0.0245361328125,0.390625,0.09765625,0.0,safe,True,True,True,Cavigelli et al. 2019 EBPC reports AlexNet average compression ratio of 5.1x in the local text extraction at review-stage/ebpc_2019.txt.
m1_schedule_only_smoke,schedule_only,ebpc_alexnet_literature,literature_ratio,P0_literature_ratio,analytical_sensitivity_only,m1_schedule_only_smoke + P0_literature_ratio:ebpc_alexnet_literature,ebpc,same_original_bytes,100.0,host_dram_pcie5_x16_like,512.0,800.0,1024.0,5.0945273631840795,26.083980099502487,19.62890625,100.0,512.0,0.0245361328125,0.1953125,0.09765625,0.0,safe,True,True,True,Cavigelli et al. 2019 EBPC reports AlexNet average compression ratio of 5.1x in the local text extraction at review-stage/ebpc_2019.txt.
m1_schedule_only_smoke,schedule_only,ebpc_alexnet_literature,literature_ratio,P0_literature_ratio,analytical_sensitivity_only,m1_schedule_only_smoke + P0_literature_ratio:ebpc_alexnet_literature,ebpc,same_original_bytes,100.0,gpu_direct_pcie5_x16_like,512.0,800.0,1024.0,5.0945273631840795,26.083980099502487,19.62890625,100.0,512.0,0.0245361328125,0.1953125,0.09765625,0.0,safe,True,True,True,Cavigelli et al. 2019 EBPC reports AlexNet average compression ratio of 5.1x in the local text extraction at review-stage/ebpc_2019.txt.
m1_schedule_only_smoke,schedule_only,ebpc_alexnet_literature,literature_ratio,P0_literature_ratio,analytical_sensitivity_only,m1_schedule_only_smoke + P0_literature_ratio:ebpc_alexnet_literature,ebpc,same_original_bytes,100.0,cxl_or_pcie6_staging_like,1024.0,800.0,1024.0,5.0945273631840795,52.16796019900497,19.62890625,100.0,1024.0,0.0245361328125,0.09765625,0.09765625,0.0,safe,True,True,True,Cavigelli et al. 2019 EBPC reports AlexNet average compression ratio of 5.1x in the local text extraction at review-stage/ebpc_2019.txt.
m1_schedule_only_smoke,schedule_only,ebpc_alexnet_literature,literature_ratio,P0_literature_ratio,analytical_sensitivity_only,m1_schedule_only_smoke + P0_literature_ratio:ebpc_alexnet_literature,ebpc,same_original_bytes,200.0,host_dram_pcie4_x16_like,256.0,800.0,1024.0,5.0945273631840795,6.520995024875622,39.2578125,200.0,256.0,0.049072265625,0.78125,0.1953125,0.0,safe,True,True,True,Cavigelli et al. 2019 EBPC reports AlexNet average compression ratio of 5.1x in the local text extraction at review-stage/ebpc_2019.txt.
m1_schedule_only_smoke,schedule_only,ebpc_alexnet_literature,literature_ratio,P0_literature_ratio,analytical_sensitivity_only,m1_schedule_only_smoke + P0_literature_ratio:ebpc_alexnet_literature,ebpc,same_original_bytes,200.0,host_dram_pcie5_x16_like,512.0,800.0,1024.0,5.0945273631840795,13.041990049751243,39.2578125,200.0,512.0,0.049072265625,0.390625,0.1953125,0.0,safe,True,True,True,Cavigelli et al. 2019 EBPC reports AlexNet average compression ratio of 5.1x in the local text extraction at review-stage/ebpc_2019.txt.
m1_schedule_only_smoke,schedule_only,ebpc_alexnet_literature,literature_ratio,P0_literature_ratio,analytical_sensitivity_only,m1_schedule_only_smoke + P0_literature_ratio:ebpc_alexnet_literature,ebpc,same_original_bytes,200.0,gpu_direct_pcie5_x16_like,512.0,800.0,1024.0,5.0945273631840795,13.041990049751243,39.2578125,200.0,512.0,0.049072265625,0.390625,0.1953125,0.0,safe,True,True,True,Cavigelli et al. 2019 EBPC reports AlexNet average compression ratio of 5.1x in the local text extraction at review-stage/ebpc_2019.txt.
m1_schedule_only_smoke,schedule_only,ebpc_alexnet_literature,literature_ratio,P0_literature_ratio,analytical_sensitivity_only,m1_schedule_only_smoke + P0_literature_ratio:ebpc_alexnet_literature,ebpc,same_original_bytes,200.0,cxl_or_pcie6_staging_like,1024.0,800.0,1024.0,5.0945273631840795,26.083980099502487,39.2578125,200.0,1024.0,0.049072265625,0.1953125,0.1953125,0.0,safe,True,True,True,Cavigelli et al. 2019 EBPC reports AlexNet average compression ratio of 5.1x in the local text extraction at review-stage/ebpc_2019.txt.
m1_schedule_only_smoke,schedule_only,ebpc_alexnet_literature,literature_ratio,P0_literature_ratio,analytical_sensitivity_only,m1_schedule_only_smoke + P0_literature_ratio:ebpc_alexnet_literature,ebpc,same_original_bytes,400.0,host_dram_pcie4_x16_like,256.0,800.0,1024.0,5.0945273631840795,3.260497512437811,78.515625,400.0,256.0,0.09814453125,1.5625,0.390625,1800000.0,fixed_original_output_path_bottleneck,True,False,False,Cavigelli et al. 2019 EBPC reports AlexNet average compression ratio of 5.1x in the local text extraction at review-stage/ebpc_2019.txt.
m1_schedule_only_smoke,schedule_only,ebpc_alexnet_literature,literature_ratio,P0_literature_ratio,analytical_sensitivity_only,m1_schedule_only_smoke + P0_literature_ratio:ebpc_alexnet_literature,ebpc,same_original_bytes,400.0,host_dram_pcie5_x16_like,512.0,800.0,1024.0,5.0945273631840795,6.520995024875622,78.515625,400.0,512.0,0.09814453125,0.78125,0.390625,0.0,safe,True,True,True,Cavigelli et al. 2019 EBPC reports AlexNet average compression ratio of 5.1x in the local text extraction at review-stage/ebpc_2019.txt.
m1_schedule_only_smoke,schedule_only,ebpc_alexnet_literature,literature_ratio,P0_literature_ratio,analytical_sensitivity_only,m1_schedule_only_smoke + P0_literature_ratio:ebpc_alexnet_literature,ebpc,same_original_bytes,400.0,gpu_direct_pcie5_x16_like,512.0,800.0,1024.0,5.0945273631840795,6.520995024875622,78.515625,400.0,512.0,0.09814453125,0.78125,0.390625,0.0,safe,True,True,True,Cavigelli et al. 2019 EBPC reports AlexNet average compression ratio of 5.1x in the local text extraction at review-stage/ebpc_2019.txt.
m1_schedule_only_smoke,schedule_only,ebpc_alexnet_literature,literature_ratio,P0_literature_ratio,analytical_sensitivity_only,m1_schedule_only_smoke + P0_literature_ratio:ebpc_alexnet_literature,ebpc,same_original_bytes,400.0,cxl_or_pcie6_staging_like,1024.0,800.0,1024.0,5.0945273631840795,13.041990049751243,78.515625,400.0,1024.0,0.09814453125,0.390625,0.390625,0.0,safe,True,True,True,Cavigelli et al. 2019 EBPC reports AlexNet average compression ratio of 5.1x in the local text extraction at review-stage/ebpc_2019.txt.
m1_schedule_only_smoke,schedule_only,ebpc_alexnet_literature,literature_ratio,P0_literature_ratio,analytical_sensitivity_only,m1_schedule_only_smoke + P0_literature_ratio:ebpc_alexnet_literature,ebpc,same_original_bytes,800.0,host_dram_pcie4_x16_like,256.0,800.0,1024.0,5.0945273631840795,1.6302487562189054,157.03125,800.0,256.0,0.1962890625,3.125,0.78125,6800000.0,fixed_original_output_path_bottleneck,True,False,False,Cavigelli et al. 2019 EBPC reports AlexNet average compression ratio of 5.1x in the local text extraction at review-stage/ebpc_2019.txt.
m1_schedule_only_smoke,schedule_only,ebpc_alexnet_literature,literature_ratio,P0_literature_ratio,analytical_sensitivity_only,m1_schedule_only_smoke + P0_literature_ratio:ebpc_alexnet_literature,ebpc,same_original_bytes,800.0,host_dram_pcie5_x16_like,512.0,800.0,1024.0,5.0945273631840795,3.260497512437811,157.03125,800.0,512.0,0.1962890625,1.5625,0.78125,3600000.0,fixed_original_output_path_bottleneck,True,False,False,Cavigelli et al. 2019 EBPC reports AlexNet average compression ratio of 5.1x in the local text extraction at review-stage/ebpc_2019.txt.
m1_schedule_only_smoke,schedule_only,ebpc_alexnet_literature,literature_ratio,P0_literature_ratio,analytical_sensitivity_only,m1_schedule_only_smoke + P0_literature_ratio:ebpc_alexnet_literature,ebpc,same_original_bytes,800.0,gpu_direct_pcie5_x16_like,512.0,800.0,1024.0,5.0945273631840795,3.260497512437811,157.03125,800.0,512.0,0.1962890625,1.5625,0.78125,3600000.0,fixed_original_output_path_bottleneck,True,False,False,Cavigelli et al. 2019 EBPC reports AlexNet average compression ratio of 5.1x in the local text extraction at review-stage/ebpc_2019.txt.
m1_schedule_only_smoke,schedule_only,ebpc_alexnet_literature,literature_ratio,P0_literature_ratio,analytical_sensitivity_only,m1_schedule_only_smoke + P0_literature_ratio:ebpc_alexnet_literature,ebpc,same_original_bytes,800.0,cxl_or_pcie6_staging_like,1024.0,800.0,1024.0,5.0945273631840795,6.520995024875622,157.03125,800.0,1024.0,0.1962890625,0.78125,0.78125,0.0,safe,True,True,True,Cavigelli et al. 2019 EBPC reports AlexNet average compression ratio of 5.1x in the local text extraction at review-stage/ebpc_2019.txt.
m1_schedule_only_smoke,schedule_only,ebpc_alexnet_literature,literature_ratio,P0_literature_ratio,analytical_sensitivity_only,m1_schedule_only_smoke + P0_literature_ratio:ebpc_alexnet_literature,ebpc,compressed_line_rate_saturated,100.0,host_dram_pcie4_x16_like,256.0,800.0,1024.0,5.0945273631840795,2.56,100.0,509.452736318408,256.0,0.125,1.9900497512437811,0.4975124378109453,3168159.2039800994,ratio_driven_output_pressure,True,False,False,Cavigelli et al. 2019 EBPC reports AlexNet average compression ratio of 5.1x in the local text extraction at review-stage/ebpc_2019.txt.
